"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PTE","PolarityTE, Inc.","1.02","$39.52M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/pte",
"PYPD","PolyPid Ltd.","12.6","$214.79M","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/pypd",
"POOL","Pool Corporation","307.28","$12.31B","1995","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/pool",
"BPOP","Popular, Inc.","35.05","$2.95B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bpop",
"BPOPM","Popular, Inc.","25.225","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bpopm",
"BPOPN","Popular, Inc.","26.04","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bpopn",
"KCAPL","Portman Ridge Finance Corporation","24.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kcapl",
"PTMN","Portman Ridge Finance Corporation","1.27","$56.51M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ptmn",
"PSTX","Poseida Therapeutics, Inc.","9.5","$587.29M","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/pstx",
"PBPB","Potbelly Corporation","3.93","$93.92M","2013","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/pbpb",
"PCH","PotlatchDeltic Corporation","38.82","$2.6B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pch",
"POWL","Powell Industries, Inc.","23.53","$273.29M","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/powl",
"POWI","Power Integrations, Inc.","51.51","$3.08B","1997","Technology","Semiconductors","https://old.nasdaq.com/symbol/powi",
"PBTS","Powerbridge Technologies Co., Ltd.","1.879","$17.29M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/pbts",
"PWFL","PowerFleet, Inc.","5.47","$170.19M","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/pwfl",
"PPD","PPD, Inc.","33.74","$11.76B","2020","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/ppd",
"PRAA","PRA Group, Inc.","40.1","$1.83B","2002","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/praa",
"PRAH","PRA Health Sciences, Inc.","97.95","$6.26B","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/prah",
"PGEN","Precigen, Inc.","3.75","$646.17M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/pgen",
"PRPO","Precipio, Inc.","2.22","$36.47M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/prpo",
"DTIL","Precision BioSciences, Inc.","5.225","$273.5M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/dtil",
